Field|Value
BOL|3010927
Carrier|DOC TRANSPORTATION
Start|2024-11-30 06:32:42
End|2024-11-30 06:43:24
Shipper Name|VAL MKTG-BRANDE
Shipper Address|ONE VALERO WAY, SAN ANTONIO, TX
Consignee Name|CALIFORNIA FUEL SUPPLY
Consignee Address|CA FUEL SUPPLY - UNBC, VARIOUS, OK
Product Name|DYED ULTRA LOW SULFUR
Gross Gallons|1200
Net Gallons|1199
Product Name|DYED ULTRA LOW SULFUR
Gross Gallons|2405
Net Gallons|2401
Product Name|DYED ULTRA LOW SULFUR
Gross Gallons|2600
Net Gallons|2599
Product Name|DYED ULTRA LOW SULFUR
Gross Gallons|1000
Net Gallons|998
Terminal Address|251 N. Sunnylane Road, Oklahoma City, OK 73117
